Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",402,3,4.7u,
"C10, C11, C12, C13, C14, C15, C16, C17, C6, C7, C8, C9",402,12,100n,
"C18, C19",402,2,15p,
"C4, C5",805,2,10u,
D1,402,1,LED,
D2,ESDS314BVR_SOT95P280X145-5N,1,ESDS314DBVR,
J1,USBPCB,1,USB_A,
L1,805,1,3.3u,
R1,402,1,33,
"R2, R5, R6, R7",402,4,1k,
"R3, R4",402,2,27,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U2,SOT-89-3,1,AMS1117S-3.3,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
